year,month,crime,count
2006,1,FALSE REPORT,6
2006,1,FALSE REPORT BOMB,7
2006,1,FALSE REPORT UNCLASSIFIED,61
2006,1,FIRE,6
2006,1,FIREWORKS,2
2006,1,FORGERY,762
2006,1,FORGERY-ILLEGAL POSSESSION,5
2006,1,FRAUD,595
2006,1,FRAUDULENT,25
2006,1,GAMBLING,15
2006,1,GAS STATION,5
2006,1,GENERAL BUSINESS LAW,3
2006,1,GRAFFIT,307
2006,1,GRAND BY ACQUIRING LOS,201
2006,1,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK,142
2006,1,GRAND BY DISHONEST EMP,67
2006,1,GRAND BY EXTORTION,13
2006,1,GRAND BY FALSE PROMISE,31
2006,1,GRAND BY THEFT OF CREDIT CARD,518
2006,1,GRAND FROM BOAT,1
2006,1,GRAND FROM BUILDING NON-RESIDENCE UNATTENDED,1123
2006,1,GRAND FROM COIN MACHIN,2
2006,1,GRAND FROM OPEN AREAS,259
2006,1,GRAND FROM PERSON,746
2006,1,GRAND FROM PIER,1
2006,1,GRAND FROM STORE-SHOPL,78
2006,1,GRAND FROM TRUCK,4
2006,1,GRAND FROM VEHICLEMOTORCYCLE,428
2006,1,GRAND LARCENY-CHECK FROM MAILB,5
2006,1,GRAND OF AUTO,1310
2006,1,GRAND OF AUTO - ATTEM,26
2006,1,GRAND OF BICYCLE,3
2006,1,GRAND OF MOPED,2
2006,1,GRAND OF MOTORCYCLE,19
2006,1,GRAND OF TRUCK,22
2006,1,GRAND OF VEHICULARMOTORCYCLE ACCESSORIES,218
2006,1,GRAND PERSON,13
2006,1,HARASSMENT,5751
2006,1,HEALTH CODE,1
2006,1,HIJACKING,1
2006,1,IMITATION PISTOLAIR RIFLE,2
2006,1,IMPAIRED DRIVING,5
2006,1,IMPERSONATION,112
2006,1,IMPRISONMENT,22
2006,1,INTENT T,32
2006,1,INTENT TO,232
2006,1,INTERCOURSE,35
2006,1,INTOXICATED DRIVING,642
2006,1,JOSTLING,1
2006,1,KIDNAPPING,10
2006,1,LARCENY,11978
2006,1,LEAVING SCENE-ACCIDENT-PERSONA,320
2006,1,LEWDNESS,64
2006,1,LICENSED MEDALLION CAB,12
2006,1,LOITERING,1
2006,1,LOITERING TO PROMOTE PROSTITUT,1
2006,1,MANUFACTURE UNAUTHORIZED RECOR,6
2006,1,MARIJUANA,1317
2006,1,MATERIAL              OFFENSIV,1
2006,1,MENACING,684
2006,1,MENACING ST DEGREE VICT NOT,7
2006,1,MISCHIEF,2575
2006,1,MOTOR VEHICLE,60
2006,1,MV REGISTRATION,42
2006,1,NECK CHAI,13
2006,1,NECKCHAINJEWELRY,19
2006,1,NIGHT,713
2006,1,NO TAX STAMP,7
2006,1,NUISANCE,4
2006,1,NY STATE LAWS,36
2006,1,NYC TRANSIT AUTH RR,1
2006,1,OBSCENE MATERIAL - UNDER  YE,1
2006,1,OBSCENITY,3
2006,1,OF M,392
2006,1,OF MOTOR,1843
2006,1,OF TRUCK DRIVER,3
2006,1,OFFENSES AGAINST,1
2006,1,ON BUS OR BUS DRIVER,8
2006,1,OPEN AREA UNCLASSIFIED,1322
2006,1,OTHER,1
2006,1,PATRONIZING,1
2006,1,PAYROLL,1
2006,1,PEACE OFFICER,158
2006,1,PEDDLING,4
2006,1,PERFORMANCE,1
2006,1,PETIT BY ACQUIRING LOS,329
2006,1,PETIT BY CHECK USE,94
2006,1,PETIT BY CREDIT CARD U,85
2006,1,PETIT BY DISHONEST EMP,57
2006,1,PETIT BY FALSE PROMISE,34
2006,1,PETIT FROM AUTO,1694
2006,1,PETIT FROM BOAT,3
2006,1,PETIT FROM BUILDING,1569
2006,1,PETIT FROM COIN MACHIN,5
2006,1,PETIT FROM OPEN AREAS,643
2006,1,PETIT FROM PARKING MET,1
2006,1,PETIT FROM STORE-SHOPL,1344
2006,1,PETIT FROM TRUCK,20
2006,1,PETIT LARCENY-CHECK FROM MAILB,19
2006,1,PETIT OF AUTO,8
2006,1,PETIT OF AUTO - ATTEM,1
2006,1,PETIT OF BICYCLE,67
2006,1,PETIT OF LICENSE PLATE,365
2006,1,PETIT OF MOPED,1
2006,1,PETIT OF MOTORCYCLE,1
2006,1,PETIT OF VEHICLE ACCES,430
2006,1,PHARMACY,7
2006,1,PICK,169
2006,1,POCKETBOOKCARRIED BAG,75
2006,1,POLICE OFFICE,29
2006,1,POLICE OFFICER,11
2006,1,POLICY,1
2006,1,POSSESS,207
2006,1,POSSESS-,10
2006,1,POSSESSE,7
2006,1,POSSESSI,1015
2006,1,POSSESSION,2098
2006,1,POSSESSION HYPODERMIC INSTRUME,13
2006,1,PRESCRIPTION,7
2006,1,PROMOTING,8
2006,1,PROSTITUTION,3
2006,1,PUBLIC,64
2006,1,PUBLIC ADMINISTATION,31
2006,1,PUBLIC ADMINISTRATION,64
2006,1,PUBLIC PLACE INSIDE,89
2006,1,PUBLIC SAFETY,2
2006,1,PUBLIC SERVAN,83
2006,1,PURS,155
2006,1,RAPE,164
2006,1,RECKLESS DRIVING,4
2006,1,RECKLESS ENDANGERMENT,225
2006,1,RECKLESS ENDANGERMENT OF PROPE,9
2006,1,RELATED OFFENSES,43
2006,1,RESIDENCE,1445
2006,1,RESIDENTIAL COMMON AREA,243
2006,1,RESISTING ARREST,255
2006,1,RIOT INCITING,3
2006,1,ROBBERY,2093
2006,1,SALE,227
2006,1,SALE OF UNAUTHORIZED RECORDING,12
2006,1,SALE SCHOOL GROUNDS,3
2006,1,SALES OF PRESCRIPTION,1
2006,1,SEXUAL ABUSE,217
2006,1,SEXUAL MISCONDUCT,37
2006,1,SMOKING TRANSPORTATION FACILIT,1
2006,1,SODOMY,26
2006,1,STOLEN PROP-MOTOR VEHICLE RD,1
2006,1,STOLEN PROPERTY,249
2006,1,STOLEN PROPERTY-MOTOR VEH ND,23
2006,1,SUBD,5751
2006,1,TAMPERING,22
2006,1,TAX LAW,62
2006,1,THEFT,43
2006,1,THEFT OF SERVICES,32
2006,1,THEFT OF SERVICES- CABLE TV SE,1
2006,1,TICKET SP,3
2006,1,TRAFFIC,185
2006,1,TRESPASS,798
2006,1,TRUCK DAY,57
2006,1,TRUCK NIGHT,28
2006,1,UN,1569
2006,1,UNATTENDED,265
2006,1,UNAUTHORIZED USE VEHICLE,181
2006,1,UNCL,423
2006,1,UNCL ND,288
2006,1,UNCLASS,44
2006,1,UNCLASS M,31
2006,1,UNCLASSI,24
2006,1,UNCLASSIF,4
2006,1,UNCLASSIFIE,32
2006,1,UNCLASSIFIED,3424
2006,1,UNCLASSIFIED FEL,25
2006,1,UNCLASSIFIED MIS,11
2006,1,UNCLASSIFIED MISDE,1
2006,1,UNCLASSIFIED MISDEMEA,80
2006,1,UNCLASSIFIED MISDEMEAN,185
2006,1,UNCLASSIFIED VIO,2
2006,1,UNCLASSIFIED VIOLATIO,1
2006,1,UNCLASSIFIED-FELO,512
2006,1,UNCLASSIFIED-FELONY,444
2006,1,UNCLASSIFIED-MISDEMEANOR,151
2006,1,UNKNOWN,10
2006,1,UNKNOWN TI,47
2006,1,UNKNOWN TIM,126
2006,1,UNKNOWN TIME,7
2006,1,UNLAWFUL,32
2006,1,UNLAWFUL USE OF,1
2006,1,UNLICENSED FOR HIRE VEHICLE,16
2006,1,VEH,5
2006,1,VEHICULAR ASSAULT INTOX DRIVE,2
2006,1,VIOLATION OF ORDER OF PROTECTI,200
2006,1,WEAPONS,602
2006,1,WEAPONS POSSESSION,370
2006,2,ACCOSTING,16
2006,2,ADMCODE,74
2006,2,AGGRAVATED CRIMINAL CONTEMPT,4
2006,2,AGGRAVATED HARASSMENT,2698
2006,2,AGGRAVATED SEXUAL ASBUSE,54
2006,2,AGRICULTURE  MARKETS LAW,1
2006,2,ALCOHOL,602
2006,2,ALCOHOL SALE TO,1
2006,2,ALCOHOLIC BEVERAGE CONTROL LAW,8
2006,2,APPEARANCE TICKET FAIL TO RESP,2
2006,2,ARSON,138
2006,2,ASSAULT,4139
2006,2,ASSEMBLY,2
2006,2,ATM LOCATION,1
2006,2,ATTEMPT,7
2006,2,BAD,4
2006,2,BAIL JUMPING,11
2006,2,BANK,38
2006,2,BARRESTAURANT,4
2006,2,BICYCLE,2
2006,2,BODEGACONVENIENCE STORE,32
2006,2,BOOKMAKIN,1
2006,2,BRIBERY,48
2006,2,BURGLARS TOOLS,7
2006,2,BURGLARY,1582
2006,2,BY FIR,1
2006,2,BY FIRE,44
2006,2,CAR JACKING,13
2006,2,CHAIN STORE,22
2006,2,CHECK,4
2006,2,CHECK CASHING BUSINESS,4
2006,2,CHILD,133
2006,2,CHILD ABANDONMENT,2
2006,2,CIGARETTE,9
2006,2,CIVILIAN,2140
2006,2,COERCION,13
2006,2,COMMERCIAL,357
2006,2,COMMERCIAL UNCLASSIFIED,93
2006,2,COMPUTER TAMPERTRESSPASS,2
2006,2,COMPUTER UNAUTH USETAMPER,1
2006,2,CONTEMPT,112
2006,2,CONTROLLED SUBSTANCE,1489
2006,2,COURSE OF SEXUAL CONDUCT AGAIN,4
2006,2,CRIMINAL,2966
2006,2,CRIMINAL CONTEMPT,280
2006,2,CRIMINAL DISPOSAL FIREARM,4
2006,2,CRIMINAL MISCHIEF,1233
2006,2,CRIMINAL MISCHIEF TH,289
2006,2,CRIMINAL SUB,6
2006,2,CUSTODIAL INTERFERENCE,15
2006,2,DAY,921
2006,2,DEVIATE,1
2006,2,DEVICE,3
2006,2,DRIVERS LICENSE,39
2006,2,DRUG,6
2006,2,DRUG PARAPHERNALIA,10
2006,2,DWELLING,37
2006,2,ENDANGERING WELFARE,131
2006,2,ESCAPE,3
2006,2,ETC,1048
2006,2,ETC-MISD,181
2006,2,FALSE ALARM FIRE,2
2006,2,FALSE REPORT,3
2006,2,FALSE REPORT BOMB,8
2006,2,FALSE REPORT UNCLASSIFIED,63
2006,2,FIRE,3
2006,2,FIREWORKS,1
2006,2,FORGERY,799
2006,2,FORGERY-ILLEGAL POSSESSION,14
2006,2,FRAUD,561
2006,2,FRAUDULENT,16
2006,2,GAMBLING,14
2006,2,GAS STATION,10
2006,2,GENERAL BUSINESS LAW,2
2006,2,GRAFFIT,289
2006,2,GRAND BY ACQUIRING LOS,153
2006,2,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK,136
2006,2,GRAND BY DISHONEST EMP,62
2006,2,GRAND BY EXTORTION,5
2006,2,GRAND BY FALSE PROMISE,24
2006,2,GRAND BY THEFT OF CREDIT CARD,385
2006,2,GRAND FROM BUILDING NON-RESIDENCE UNATTENDED,915
2006,2,GRAND FROM OPEN AREAS,237
2006,2,GRAND FROM PERSON,530
2006,2,GRAND FROM STORE-SHOPL,65
2006,2,GRAND FROM TRUCK,4
2006,2,GRAND FROM VEHICLEMOTORCYCLE,326
2006,2,GRAND LARCENY-CHECK FROM MAILB,5
2006,2,GRAND OF AUTO,1021
2006,2,GRAND OF AUTO - ATTEM,7
2006,2,GRAND OF BICYCLE,3
2006,2,GRAND OF MOTORCYCLE,16
2006,2,GRAND OF TRUCK,12
2006,2,GRAND OF VEHICULARMOTORCYCLE ACCESSORIES,173
2006,2,GRAND PERSON,4
2006,2,HARASSMENT,4948
2006,2,HOMICIDE,1
2006,2,IMITATION PISTOLAIR RIFLE,6
2006,2,IMPAIRED DRIVING,6
2006,2,IMPERSONATION,112
2006,2,IMPRISONMENT,18
2006,2,INTENT T,52
2006,2,INTENT TO,194
2006,2,INTERCOURSE,33
2006,2,INTOXICATED DRIVING,602
2006,2,JOSTLING,1
2006,2,KIDNAPPING,2
2006,2,LARCENY,9578
2006,2,LEAVING SCENE-ACCIDENT-PERSONA,255
2006,2,LEWDNESS,48
2006,2,LICENSED MEDALLION CAB,11
2006,2,LIQUOR STORE,4
2006,2,LOITERING,2
2006,2,LOITERING TO PROMOTE PROSTITUT,1
2006,2,MANUFACTURE UNAUTHORIZED RECOR,16
2006,2,MARIJUANA,1239
2006,2,MENACING,543
2006,2,MENACING ST DEGREE VICT NOT,9
2006,2,MENACING ST DEGREE VICT PEAC,2
2006,2,MFR,1
2006,2,MISCHIEF,2069
2006,2,MONEY LAUNDERING,1
2006,2,MOTOR VEHICLE,49
2006,2,MV REGISTRATION,58
2006,2,NECK CHAI,4
2006,2,NECKCHAINJEWELRY,15
2006,2,NEGLIGENT,1
2006,2,NIGHT,459
2006,2,NO TAX STAMP,9
2006,2,NOISE,1
2006,2,NUISANCE,1
2006,2,NY STATE LAWS,41
2006,2,OBSCENE MATERIAL - UNDER  YE,3
2006,2,OF M,259
2006,2,OF MOTOR,1529
2006,2,OFFENSES AGAINST,1
2006,2,ON BUS OR BUS DRIVER,8
2006,2,OPEN AREA UNCLASSIFIED,918
2006,2,OTHER,2
2006,2,PARKRR,2
2006,2,PAYROLL,1
2006,2,PEACE OFFICER,140
2006,2,PEDDLING,1
2006,2,PETIT BY ACQUIRING LOS,271
2006,2,PETIT BY CHECK USE,90
2006,2,PETIT BY CREDIT CARD U,83
2006,2,PETIT BY DISHONEST EMP,40
2006,2,PETIT BY FALSE PROMISE,26
2006,2,PETIT FROM AUTO,1299
2006,2,PETIT FROM BOAT,2
2006,2,PETIT FROM BUILDING,1301
2006,2,PETIT FROM COIN MACHIN,5
2006,2,PETIT FROM OPEN AREAS,571
2006,2,PETIT FROM STORE-SHOPL,1151
2006,2,PETIT FROM TRUCK,15
2006,2,PETIT LARCENY-CHECK FROM MAILB,8
2006,2,PETIT OF AUTO,10
2006,2,PETIT OF BICYCLE,30
2006,2,PETIT OF LICENSE PLATE,302
2006,2,PETIT OF MOPED,1
2006,2,PETIT OF VEHICLE ACCES,303
2006,2,PHARMACY,8
2006,2,PICK,110
2006,2,POCKETBOOKCARRIED BAG,41
2006,2,POLICE OFFICE,21
2006,2,POLICE OFFICER,5
2006,2,POLICY-,3
2006,2,POSSES OR CARRY A KNIFE,2
2006,2,POSSESS,208
2006,2,POSSESS-,7
2006,2,POSSESSE,10
2006,2,POSSESSI,919
2006,2,POSSESSION,1873
2006,2,POSSESSION B,2
2006,2,POSSESSION HYPODERMIC INSTRUME,6
2006,2,POSSESSUSE,1
2006,2,PRESCRIPTION,7
2006,2,PROMOTING,9
2006,2,PROMOTING A SEXUAL PERFORMANCE,1
2006,2,PROMOTINGSECUR,1
2006,2,PROSTITUTION,1
2006,2,PUBLIC,48
2006,2,PUBLIC ADMINISTATION,39
2006,2,PUBLIC ADMINISTRATION,57
2006,2,PUBLIC PLACE INSIDE,59
2006,2,PUBLIC SERVAN,91
2006,2,PURS,97
2006,2,RAPE,128
2006,2,RECKLESS DRIVING,3
2006,2,RECKLESS ENDANGERMENT,158
2006,2,RECKLESS ENDANGERMENT OF PROPE,8
2006,2,RELATED OFFENSES,21
2006,2,RESIDENCE,1135
2006,2,RESIDENTIAL COMMON AREA,156
2006,2,RESISTING ARREST,254
2006,2,RIOT,1
2006,2,RIOT INCITING,5
2006,2,ROBBERY,1486
2006,2,SALE,188
2006,2,SALE OF UNAUTHORIZED RECORDING,22
2006,2,SEXUAL ABUSE,186
2006,2,SEXUAL MISCONDUCT,34
2006,2,SODOMY,45
2006,2,STOLEN PROP-MOTOR VEHICLE RD,4
2006,2,STOLEN PROPERTY,170
2006,2,STOLEN PROPERTY-MOTOR VEH ND,23
2006,2,SUBD,4948
2006,2,TAMPERING,21
2006,2,TAMPERING WITH A WITNESS,4
2006,2,TAX LAW,51
2006,2,THEFT,21
2006,2,THEFT OF SERVICES,38
2006,2,THEFT OF SERVICES- CABLE TV SE,3
2006,2,TICKET SP,2
2006,2,TRAFFIC,203
2006,2,TRANSPORT,1
2006,2,TRESPASS,769
2006,2,TRUCK DAY,49
2006,2,TRUCK NIGHT,14
2006,2,UN,1301
2006,2,UNATTENDED,241
2006,2,UNAUTHORIZED USE VEHICLE,150
2006,2,UNCL,324
2006,2,UNCL ND,236
2006,2,UNCLASS,22
2006,2,UNCLASS M,39
2006,2,UNCLASSI,16
2006,2,UNCLASSIF,5
2006,2,UNCLASSIFIE,38
2006,2,UNCLASSIFIED,2715
2006,2,UNCLASSIFIED FEL,36
2006,2,UNCLASSIFIED MIS,4
2006,2,UNCLASSIFIED MISDEMEA,71
2006,2,UNCLASSIFIED MISDEMEAN,203
2006,2,UNCLASSIFIED VIO,1
2006,2,UNCLASSIFIED VIOLATIO,3
2006,2,UNCLASSIFIED VIOLATION,2
2006,2,UNCLASSIFIED-FELO,514
2006,2,UNCLASSIFIED-FELONY,429
2006,2,UNCLASSIFIED-MISDEMEANOR,131
2006,2,UNECESSARY,1
2006,2,UNKNOWN,5
2006,2,UNKNOWN TI,36
2006,2,UNKNOWN TIM,92
2006,2,UNKNOWN TIME,6
2006,2,UNLAWFUL,21
2006,2,UNLICENSED FOR HIRE VEHICLE,9
2006,2,VEH,14
2006,2,VEHICLE,1
2006,2,VEHICULAR ASSAULT INTOX DRIVE,2
2006,2,VIOLATION OF ORDER OF PROTECTI,192
2006,2,WEAPONS,534
2006,2,WEAPONS POSSESSION,310
2006,3,ACCOSTING,38
2006,3,ADMCODE,61
2006,3,AGGRAVATED CRIMINAL CONTEMPT,4
2006,3,AGGRAVATED HARASSMENT,3052
2006,3,AGGRAVATED SEXUAL ASBUSE,55
2006,3,ALCOHOL,750
2006,3,ALCOHOL SALE TO,3
2006,3,ALCOHOLIC BEVERAGE CONTROL LAW,12
2006,3,ALCOHOLIC BEVERAGES,4
2006,3,ARSON,161
2006,3,ASSAULT,5223
2006,3,ASSEMBLY,2
2006,3,ATM LOCATION,2
2006,3,ATTEMPT,9
2006,3,BAD,8
2006,3,BAIL JUMPING,10
2006,3,BANK,32
2006,3,BARRESTAURANT,6
2006,3,BICYCLE,8
2006,3,BODEGACONVENIENCE STORE,29
2006,3,BOOKMAK,1
2006,3,BRIBERY,64
2006,3,BURGLARS TOOLS,10
2006,3,BURGLARY,1893
2006,3,BY FIR,6
2006,3,BY FIRE,66
2006,3,CAR JACKING,11
2006,3,CHAIN STORE,30
2006,3,CHECK,8
2006,3,CHECK CASHING BUSINESS,3
2006,3,CHILD,152
2006,3,CHILD ABANDONMENT,3
2006,3,CIGARETTE,7
2006,3,CIVILIAN,2453
2006,3,COERCION,10
2006,3,COMMERCIAL,449
2006,3,COMMERCIAL UNCLASSIFIED,112
2006,3,COMPUTER TAMPERTRESSPASS,3
2006,3,CONTEMPT,116
2006,3,CONTROLLED SUBSTANCE,1724
2006,3,COURSE OF SEXUAL CONDUCT AGAIN,3
2006,3,CREDIT CARD,1
2006,3,CRIMINAL,3376
2006,3,CRIMINAL CONTEMPT,355
2006,3,CRIMINAL DISPOSAL FIREARM,6
2006,3,CRIMINAL MISCHIEF,1422
2006,3,CRIMINAL MISCHIEF TH,423
2006,3,CRIMINAL SUB,13
2006,3,CUSTODIAL INTERFERENCE,14
2006,3,DAY,1043
2006,3,DEVIATE,3
2006,3,DEVICE,2
2006,3,DISORDERLY CONDUCT,2
2006,3,DRIVERS LICENSE,40
2006,3,DRUG,10
2006,3,DRUG PARAPHERNALIA,14
2006,3,DWELLING,44
2006,3,EAVESDROPPING,1
2006,3,EDUCATION LAW,1
2006,3,ENDANGERING WELFARE,147
2006,3,ESCAPE,3
2006,3,ETC,1178
2006,3,ETC-MISD,212
2006,3,FALSE ALARM FIRE,3
2006,3,FALSE REPORT,5
2006,3,FALSE REPORT BOMB,4
2006,3,FALSE REPORT UNCLASSIFIED,58
2006,3,FALSIFY-TAMPER,1
2006,3,FIRE,5
2006,3,FIREWORKS,2
2006,3,FORGERY,889
2006,3,FORGERY-ILLEGAL POSSESSION,15
2006,3,FRAUD,701
2006,3,FRAUDULENT,38
2006,3,GAMBLING,10
2006,3,GAS STATION,12
2006,3,GENERAL BUSINESS LAW,1
2006,3,GRAFFIT,423
2006,3,GRAFFITI ADMINISTRATIVE CODE-,1
2006,3,GRAND BY ACQUIRING LOS,198
2006,3,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK,149
2006,3,GRAND BY DISHONEST EMP,63
2006,3,GRAND BY EXTORTION,16
2006,3,GRAND BY FALSE PROMISE,34
2006,3,GRAND BY THEFT OF CREDIT CARD,443
2006,3,GRAND FROM BOAT,1
2006,3,GRAND FROM BUILDING NON-RESIDENCE UNATTENDED,1070
2006,3,GRAND FROM COIN MACHIN,2
2006,3,GRAND FROM OPEN AREAS,277
2006,3,GRAND FROM PERSON,724
2006,3,GRAND FROM PIER,2
2006,3,GRAND FROM STORE-SHOPL,65
2006,3,GRAND FROM TRUCK,4
2006,3,GRAND FROM VEHICLEMOTORCYCLE,381
2006,3,GRAND LARCENY-CHECK FROM MAILB,6
2006,3,GRAND OF AUTO,1182
2006,3,GRAND OF AUTO - ATTEM,16
2006,3,GRAND OF BICYCLE,1
2006,3,GRAND OF BOAT,1
2006,3,GRAND OF MOPED,2
2006,3,GRAND OF MOTORCYCLE,25
2006,3,GRAND OF TRUCK,12
2006,3,GRAND OF VEHICULARMOTORCYCLE ACCESSORIES,182
2006,3,GRAND PERSON,8
2006,3,HARASSMENT,5893
2006,3,HEALTHCARERENTREG,1
2006,3,IMITATION PISTOLAIR RIFLE,2
2006,3,IMPAIRED DRIVING,9
2006,3,IMPERSONATION,115
2006,3,IMPRISONMENT,17
2006,3,INCOMPETENT PERSON,2
2006,3,INJECTION OF,1
2006,3,INTENT T,46
2006,3,INTENT TO,254
2006,3,INTERCOURSE,27
2006,3,INTOXICATED DRIVING,750
2006,3,JOSTLING,4
2006,3,KIDNAPPING,6
2006,3,LARCENY,11310
2006,3,LEAVING SCENE-ACCIDENT-PERSONA,322
2006,3,LEWDNESS,107
2006,3,LICENSED MEDALLION CAB,18
2006,3,LIQUOR STORE,1
2006,3,LOITERING,4
2006,3,LOITERING TO PROMOTE PROSTITUT,1
2006,3,MANUFACTURE UNAUTHORIZED RECOR,5
2006,3,MARIJUANA,1425
2006,3,MATERIAL              OFFENSIV,1
2006,3,MENACING,693
2006,3,MENACING ST DEGREE VICT NOT,8
2006,3,MENACING ST DEGREE VICT PEAC,1
2006,3,MISCHIEF,2393
2006,3,MOTOR VEHICLE,50
2006,3,MV REGISTRATION,63
2006,3,NECK CHAI,8
2006,3,NECKCHAINJEWELRY,16
2006,3,NIGHT,629
2006,3,NO TAX STAMP,7
2006,3,NUISANCE,3
2006,3,NY STATE LAWS,51
2006,3,NYC TRANSIT AUTH RR,2
2006,3,OBSCENE MATERIAL - UNDER  YE,1
2006,3,OBSCENITY,2
2006,3,OF M,346
2006,3,OF MOTOR,1717
2006,3,OF TRUCK DRIVER,1
2006,3,OFFENSES AGAINST,2
2006,3,ON BUS OR BUS DRIVER,14
2006,3,OPEN AREA UNCLASSIFIED,1142
2006,3,OTHER,4
2006,3,PATRONIZING,6
2006,3,PAYROLL,2
2006,3,PEACE OFFICER,186
2006,3,PEDDLING,2
2006,3,PERFORMANCE,1
2006,3,PETIT BY ACQUIRING LOS,303
2006,3,PETIT BY CHECK USE,76
2006,3,PETIT BY CREDIT CARD U,70
2006,3,PETIT BY DISHONEST EMP,40
2006,3,PETIT BY FALSE PROMISE,25
2006,3,PETIT FROM AUTO,1546
2006,3,PETIT FROM BOAT,1
2006,3,PETIT FROM BUILDING,1599
2006,3,PETIT FROM COIN MACHIN,11
2006,3,PETIT FROM OPEN AREAS,632
2006,3,PETIT FROM STORE-SHOPL,1289
2006,3,PETIT FROM TRUCK,20
2006,3,PETIT LARCENY-CHECK FROM MAILB,11
2006,3,PETIT OF AUTO,12
2006,3,PETIT OF BICYCLE,68
2006,3,PETIT OF LICENSE PLATE,356
2006,3,PETIT OF MOPED,1
2006,3,PETIT OF MOTORCYCLE,3
2006,3,PETIT OF VEHICLE ACCES,400
2006,3,PHARMACY,5
2006,3,PICK,133
2006,3,POCKETBOOKCARRIED BAG,53
2006,3,POLICE OFFICE,22
2006,3,POLICE OFFICER,11
2006,3,POLICY-,1
2006,3,POSSES OR CARRY A KNIFE,3
2006,3,POSSESS,212
2006,3,POSSESS-,11
2006,3,POSSESSE,14
2006,3,POSSESSI,1076
2006,3,POSSESSION,2160
2006,3,POSSESSION B,3
2006,3,POSSESSION HYPODERMIC INSTRUME,9
2006,3,POSSESSUSE,1
2006,3,PRESCRIPTION,4
2006,3,PROMOTING,4
2006,3,PROMOTING A SEXUAL PERFORMANCE,5
2006,3,PROMOTING BUSIN,1
2006,3,PROMOTINGSECUR,1
2006,3,PROSTITUTION,9
2006,3,PUBLIC,107
2006,3,PUBLIC ADMINISTATION,45
2006,3,PUBLIC ADMINISTRATION,73
2006,3,PUBLIC CON,4
2006,3,PUBLIC PLACE INSIDE,79
2006,3,PUBLIC SAFETY,2
2006,3,PUBLIC SERVAN,93
2006,3,PURS,127
2006,3,RAPE,141
2006,3,RECKLESS DRIVING,7
2006,3,RECKLESS ENDANGERMENT,224
2006,3,RECKLESS ENDANGERMENT OF PROPE,7
2006,3,RECKLESSY ENDANGERING,2
2006,3,RECORDS,1
2006,3,RELATED OFFENSES,32
2006,3,RESIDENCE,1315
2006,3,RESIDENTIAL COMMON AREA,198
2006,3,RESISTING ARREST,277
2006,3,RIOT,2
2006,3,RIOT INCITING,7
2006,3,ROBBERY,1832
2006,3,SALE,241
2006,3,SALE OF UNAUTHORIZED RECORDING,10
2006,3,SALE SCHOOL GROUNDS,4
